ID,Value
"('A1002', (0.02, 176.10000000000002, 5, 29.35, 29.350000001))","[0.01, 66.22885314403246, 1.0000009355749313, 58.7, 3.378498676207369e-05, 0.4742565914626565]"
"('A1002', (0.02, 176.10000000000002, 5, 44.025000000000006, 14.675000000999997))","[0.010728466673473214, 84.09509812834101, 1.4326184981916095, 58.7, 25.395601816269686, 0.3951147201658105]"
"('A1002', (0.02, 176.10000000000002, 5, 58.7, 1e-09))","[0.01, 153.7967926586984, 1.4333995026164228, 58.7, 1.0000000000000003e-09, 0.44034186734133557]"
"('A1002', (0.02, 176.10000000000002, 10, 29.35, 29.350000001))","[0.01, 64.57000000000001, 2.6561595714537987, 58.7, 1e-09, 0.6345298621334821]"
"('A1002', (0.02, 176.10000000000002, 10, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000002, 1.040470649314952, 58.7, 1.816220606717338, 0.464259298352108]"
"('A1002', (0.02, 176.10000000000002, 10, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.656144662913968, 58.7, 1e-09, 0.6345298618768175]"
"('A1002', (0.05, 88.05000000000001, 1, 29.35, 29.350000001))","[0.01, 64.57000000000002, 1.1912056001353402, 58.7, 58.7, 0.25062767531844177]"
"('A1002', (0.05, 88.05000000000001, 1, 44.025000000000006, 14.675000000999997))","[0.01, 73.38753634898995, 1.2502131079422951, 58.7, 14.686846549095101, 0.39512600858916486]"
"('A1002', (0.05, 88.05000000000001, 1, 58.7, 1e-09))","[0.01, 177.14346739347718, 1.3861931714023012, 58.7, 1.0000000000000003e-09, 0.43292171865386747]"
"('A1002', (0.05, 88.05000000000001, 2, 29.35, 29.350000001))","[0.05519938007884355, 64.57000000000001, 2.09669746150235, 31.834030728165857, 32.62673059645134, 0.22994838053473365]"
"('A1002', (0.05, 88.05000000000001, 2, 44.025000000000006, 14.675000000999997))","[0.01, 64.69732899659442, 1.4130755809764013, 38.194219211290445, 58.182945489587404, 0.25970363698890186]"
"('A1002', (0.05, 88.05000000000001, 2, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.6561548056141864, 58.7, 1e-09, 0.6345298620341733]"
"('A1002', (0.05, 88.05000000000001, 5, 29.35, 29.350000001))","[0.01, 91.56018503569095, 2.4183528266860432, 37.86113358459012, 53.69873713041936, 0.3950866630530433]"
"('A1002', (0.05, 88.05000000000001, 5, 44.025000000000006, 14.675000000999997))","[0.01016815269984025, 89.9364417140963, 1.5321278137574537, 58.7, 31.236942747349897, 0.39507176134704003]"
"('A1002', (0.05, 88.05000000000001, 5, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.6561044995364718, 58.7, 1.0000000000000003e-09, 0.6345298619751212]"
"('A1002', (0.05, 88.05000000000001, 10, 29.35, 29.350000001))","[0.01, 99.75935333472017, 2.2487375523957502, 44.36298114389953, 55.39601662332868, 0.3950763140842142]"
"('A1002', (0.05, 88.05000000000001, 10, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000076711, 7.625115426400612, 58.7, 5.764170176852618, 1.2871759691688107]"
"('A1002', (0.05, 88.05000000000001, 10, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.656174225472488, 58.7, 1e-09, 0.6345298625404419]"
"('A1002', (0.05, 117.4, 1, 29.35, 29.350000001))","[0.01, 115.65126927777979, 1.9851301579839231, 58.25817104160888, 57.3935367332424, 0.3951161674764141]"
"('A1002', (0.05, 117.4, 1, 44.025000000000006, 14.675000000999997))","[0.01, 77.53873615346177, 1.3209348960551455, 58.7, 18.838116631679334, 0.39507695542841587]"
"('A1002', (0.05, 117.4, 1, 58.7, 1e-09))","[0.010571401786648291, 150.5496005947064, 1.0000000034792764, 58.7, 1.420682677190388e-09, 0.6237328682578941]"
"('A1002', (0.05, 117.4, 2, 29.35, 29.350000001))","[0.01, 86.3817274088812, 1.6352152262539017, 52.82550323418927, 33.55668299110766, 0.3950761181018093]"
"('A1002', (0.05, 117.4, 2, 44.025000000000006, 14.675000000999997))","[0.01, 74.33743337991626, 1.2663955592559815, 58.7, 15.638086621271222, 0.3950763984069677]"
"('A1002', (0.05, 117.4, 2, 58.7, 1e-09))","[0.01, 177.1435493701402, 1.386192831545444, 58.7, 1.0000000001953503e-09, 0.4329217186565602]"
"('A1002', (0.05, 117.4, 5, 29.35, 29.350000001))","[0.01, 84.30486867163704, 1.9427285611819918, 43.39558602763715, 40.90890888170012, 0.3950784606642232]"
"('A1002', (0.05, 117.4, 5, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000002, 2.656099225993372, 58.7, 1.0000000000000003e-09, 0.6345298620735851]"
"('A1002', (0.05, 117.4, 5, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.6561538124682786, 58.7, 1.0000000000000003e-09, 0.634529862015522]"
"('A1002', (0.05, 117.4, 10, 29.35, 29.350000001))","[0.01, 64.57000000000002, 1.4515754582335467, 26.444289675081166, 1.0000000000000003e-09, 0.4520563296340183]"
"('A1002', (0.05, 117.4, 10, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000001, 1.1912016981912208, 58.7, 58.7, 0.250627710988907]"
"('A1002', (0.05, 117.4, 10, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.656157693486838, 58.7, 1.0000000000000003e-09, 0.6345298620924138]"
"('A1002', (0.05, 176.10000000000002, 1, 29.35, 29.350000001))","[0.01, 116.87133249528533, 1.9920667518075432, 58.66898854880723, 58.20191185961175, 0.3950898244098459]"
"('A1002', (0.05, 176.10000000000002, 1, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000002, 1.1912144644580214, 58.7, 58.7, 0.25062763262043014]"
"('A1002', (0.05, 176.10000000000002, 1, 58.7, 1e-09))","[0.0131948988666315, 170.70456747028783, 1.0000000227089108, 58.7, 1.0037663429461778e-09, 0.6584216881967433]"
"('A1002', (0.05, 176.10000000000002, 2, 29.35, 29.350000001))","[0.01, 64.57000000000002, 1.2481867823975663, 51.73106379478754, 12.839567565714734, 0.3950764232174202]"
"('A1002', (0.05, 176.10000000000002, 2, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000005, 2.6561651084978406, 58.7, 1.0000000000000007e-09, 0.6345298622692279]"
"('A1002', (0.05, 176.10000000000002, 2, 58.7, 1e-09))","[0.01, 153.79759149306977, 1.433399824615452, 58.7, 1.0000000605672835e-09, 0.44034186836733363]"
"('A1002', (0.05, 176.10000000000002, 5, 29.35, 29.350000001))","[0.01, 116.37770582829954, 2.0169925752300903, 57.69922977026985, 58.678058307619715, 0.3950910844846363]"
"('A1002', (0.05, 176.10000000000002, 5, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000002, 1.4515752962690447, 26.444262543497764, 1.0000000000000003e-09, 0.4520563296345032]"
"('A1002', (0.05, 176.10000000000002, 5, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.656088857736384, 58.7, 1.0000001052265915e-09, 0.6345298635883181]"
"('A1002', (0.05, 176.10000000000002, 10, 29.35, 29.350000001))","[0.01, 64.57000000000002, 1.2635070890699813, 51.0380649684368, 9.513509177708407, 0.48608052969314286]"
"('A1002', (0.05, 176.10000000000002, 10, 44.025000000000006, 14.675000000999997))","[0.01, 64.59028304068124, 1.337365384451306, 48.296539309317296, 16.294299850284162, 0.39508485100340757]"
"('A1002', (0.05, 176.10000000000002, 10, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.6561000698941593, 58.7, 1.0000000000000003e-09, 0.6345298620564932]"
"('A1002', (0.1, 88.05000000000001, 1, 29.35, 29.350000001))","[0.10992149700136278, 79.39772570026139, 1.0789011893557259, 29.493758420323303, 28.536837435566383, 3.7009929634832255]"
"('A1002', (0.1, 88.05000000000001, 1, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000002, 2.656089264695592, 58.7, 1.0000000000000003e-09, 0.6345298623137572]"
"('A1002', (0.1, 88.05000000000001, 1, 58.7, 1e-09))","[0.13121244139487995, 64.61749602293628, 1.0000000115838845, 58.7, 1.1221415861797576e-09, 0.6479411199775008]"
"('A1002', (0.1, 88.05000000000001, 2, 29.35, 29.350000001))","[0.10452145257463408, 67.52822936750707, 2.4352817595804597, 19.714110001149066, 30.207637317179035, 3.7015059002674455]"
"('A1002', (0.1, 88.05000000000001, 2, 44.025000000000006, 14.675000000999997))","[0.18536291255018933, 152.9469601258616, 2.265037164218616, 1.0000000000000003e-09, 9.887193075283315, 3.698133389274982]"
"('A1002', (0.1, 88.05000000000001, 2, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.6561596360413597, 58.7, 1e-09, 0.6345298621349382]"
"('A1002', (0.1, 88.05000000000001, 5, 29.35, 29.350000001))","[0.12070571521105253, 161.4865491639195, 4.931540643470456, 16.786488646729534, 33.46805844702766, 3.6986091659205464]"
"('A1002', (0.1, 88.05000000000001, 5, 44.025000000000006, 14.675000000999997))","[0.1570746543586366, 119.02940796071664, 3.7039049825694406, 46.40534560335129, 7.040640752857783, 3.6981537220935015]"
"('A1002', (0.1, 88.05000000000001, 5, 58.7, 1e-09))","[0.01, 159.9285680710435, 1.4177002905078917, 58.7, 1.0000000000000003e-09, 0.4403458486928781]"
"('A1002', (0.1, 88.05000000000001, 10, 29.35, 29.350000001))","[0.11346078750746263, 99.19169186094013, 14.07817007993771, 18.725827099264645, 47.120927449204785, 3.698669214064882]"
"('A1002', (0.1, 88.05000000000001, 10, 44.025000000000006, 14.675000000999997))","[0.09942823029939152, 87.85012329667947, 9.200940316472874, 43.06741631846805, 14.555088911422867, 3.6999837972208045]"
"('A1002', (0.1, 88.05000000000001, 10, 58.7, 1e-09))","[0.01, 64.57000000000008, 2.6561598493024796, 58.7, 1e-09, 0.6345298621397706]"
"('A1002', (0.1, 117.4, 1, 29.35, 29.350000001))","[0.11173620670493437, 73.78576239424518, 1.279632730383348, 21.092127778891587, 33.77731845899675, 3.6990765337071507]"
"('A1002', (0.1, 117.4, 1, 44.025000000000006, 14.675000000999997))","[0.16290589766289365, 161.7937335766907, 9.116652098034215e-10, 53.388928085059625, 11.04867239182875, 3.6980038728573357]"
"('A1002', (0.1, 117.4, 1, 58.7, 1e-09))","[0.023664846114613544, 83.35576619474512, 1.0000000018506099, 58.7, 1.9436239828474132e-09, 0.6029955744506227]"
"('A1002', (0.1, 117.4, 2, 29.35, 29.350000001))","[0.10980731944160231, 102.49955185199522, 2.054424674076243, 28.565508358852917, 33.578163457943404, 3.7000689507232405]"
"('A1002', (0.1, 117.4, 2, 44.025000000000006, 14.675000000999997))","[0.10462901740047292, 352.45483673092315, 1.664114214538878, 58.7, 25.07278355366858, 3.6999199740288193]"
"('A1002', (0.1, 117.4, 2, 58.7, 1e-09))","[0.01, 177.14345681109202, 1.3861932847211853, 58.7, 1.0000000000000003e-09, 0.43292171865343365]"
"('A1002', (0.1, 117.4, 5, 29.35, 29.350000001))","[0.10922936237216024, 104.42485067936647, 9.511958446055987, 15.75220776395619, 58.7, 3.69882223442765]"
"('A1002', (0.1, 117.4, 5, 44.025000000000006, 14.675000000999997))","[0.10276021054241832, 122.90938615158163, 4.964631986550108, 43.94467466417019, 14.226178563240545, 3.699714015202034]"
"('A1002', (0.1, 117.4, 5, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.6560974360914846, 58.7, 1.0000000000000003e-09, 0.6345298621115165]"
"('A1002', (0.1, 117.4, 10, 29.35, 29.350000001))","[0.10164486491477139, 89.13042001118326, 11.043785693314884, 21.55168576229697, 24.176472404601625, 3.6990911519356113]"
"('A1002', (0.1, 117.4, 10, 44.025000000000006, 14.675000000999997))","[0.09934319079349979, 124.3379441898582, 10.114010761771125, 43.85690885273846, 15.106543006359871, 3.699551571209464]"
"('A1002', (0.1, 117.4, 10, 58.7, 1e-09))","[0.01, 64.5700000000001, 2.656093457442523, 58.7, 1.0000000000000003e-09, 0.6345298622040305]"
"('A1002', (0.1, 176.10000000000002, 1, 29.35, 29.350000001))","[0.10254029921070351, 200.90850733214216, 0.8837468160159181, 31.455831336640898, 30.084296676259513, 3.7000738100301436]"
"('A1002', (0.1, 176.10000000000002, 1, 44.025000000000006, 14.675000000999997))","[0.1711885409070392, 148.52540581860524, 0.8744620525190625, 56.19512325936407, 10.839674760629546, 3.6992706711895114]"
"('A1002', (0.1, 176.10000000000002, 1, 58.7, 1e-09))","[0.01, 176.00933568588607, 1.0000000077180524, 58.7, 1.7751676653293312e-09, 0.632916896941495]"
"('A1002', (0.1, 176.10000000000002, 2, 29.35, 29.350000001))","[0.10253101377114508, 170.49271709537237, 1.9484155124781894, 27.07340619287334, 29.470422897588264, 3.6993770005201947]"
"('A1002', (0.1, 176.10000000000002, 2, 44.025000000000006, 14.675000000999997))","[0.15592048509560164, 136.05877798796666, 2.0704422411416017, 49.49214293108503, 12.07060379724841, 3.698060408069491]"
"('A1002', (0.1, 176.10000000000002, 2, 58.7, 1e-09))","[0.01, 177.14347488796403, 1.386193104951217, 58.7, 1e-09, 0.4329217186547919]"
"('A1002', (0.1, 176.10000000000002, 5, 29.35, 29.350000001))","[0.11403911176369214, 193.20008870591533, 5.719616726600556, 20.130764220929116, 49.88048811998199, 3.698671073122764]"
"('A1002', (0.1, 176.10000000000002, 5, 44.025000000000006, 14.675000000999997))","[0.10522448261791525, 173.8253298857967, 5.1140656426490665, 43.80491691876337, 14.736714983141828, 3.6993069400494183]"
"('A1002', (0.1, 176.10000000000002, 5, 58.7, 1e-09))","[0.01, 64.57000000000008, 2.6561000250921305, 58.7, 1.0000000090394027e-09, 0.634529862165907]"
"('A1002', (0.1, 176.10000000000002, 10, 29.35, 29.350000001))","[0.10598327954449424, 120.58934843677167, 12.56942966734935, 27.411771350885815, 32.803035984912256, 3.698023741310414]"
"('A1002', (0.1, 176.10000000000002, 10, 44.025000000000006, 14.675000000999997))","[0.10590561066338222, 175.64647531922657, 10.089764421932628, 44.370552608417455, 14.576084355806621, 3.6987864507119252]"
"('A1002', (0.1, 176.10000000000002, 10, 58.7, 1e-09))","[0.10473550108451969, 176.8854720638907, 10.007697502944154, 58.7, 1.0042909263515585e-09, 3.7060689808049827]"
